Column1,Column2,Column3

3241,31-12-2024,2852,15,22,23,25,28,10
3240,29-12-2024,2851,28,34,35,42,45,5
3239,26-12-2024,2850,1,9,21,30,36,19
3238,24-12-2024,2849,5,15,35,40,42,14
3237,22-12-2024,2848,22,23,35,36,43,19
3236,19-12-2024,2847,2,6,14,17,36,19
3235,17-12-2024,2846,19,22,29,33,44,17
3234,15-12-2024,2845,5,13,27,30,31,15
3233,12-12-2024,2844,1,12,17,32,37,20
3232,10-12-2024,2843,13,17,19,25,44,5
3231,8-12-2024,2842,28,36,41,42,44,6
3230,5-12-2024,2841,28,31,35,38,42,8
3229,3-12-2024,2840,19,25,37,38,43,16
3228,1-12-2024,2839,4,19,20,21,38,7
3227,28-11-2024,2838,14,26,35,38,45,14
3226,26-11-2024,2837,4,8,27,37,44,15
3225,24-11-2024,2836,7,8,12,26,45,3
3224,21-11-2024,2835,23,24,29,35,40,18
3223,19-11-2024,2834,7,13,30,40,42,18
3222,17-11-2024,2833,1,15,18,29,43,6
3221,14-11-2024,2832,4,20,31,42,45,8
3220,12-11-2024,2831,5,9,40,42,45,5
3219,10-11-2024,2830,3,4,18,32,39,14
3218,7-11-2024,2829,12,24,31,35,44,17
3217,5-11-2024,2828,7,17,22,35,44,3
3216,3-11-2024,2827,7,13,23,29,43,2
3215,31-10-2024,2826,4,26,33,35,44,15
3214,29-10-2024,2825,18,21,37,40,41,5
3213,27-10-2024,2824,4,27,33,37,39,14
3212,24-10-2024,2823,27,28,37,40,42,16
3211,22-10-2024,2822,5,16,17,26,33,3
3210,20-10-2024,2821,10,21,29,30,40,7
3209,17-10-2024,2820,1,14,34,38,41,7
3208,15-10-2024,2819,2,22,27,33,41,17
3207,13-10-2024,2818,13,16,17,24,44,10
3206,10-10-2024,2817,21,24,30,31,39,9
3205,8-10-2024,2816,21,22,26,27,44,2
3204,6-10-2024,2815,4,5,9,22,34,6
3203,3-10-2024,2814,16,22,32,37,44,15
3202,1-10-2024,2813,3,6,12,18,25,2
3201,29-9-2024,2812,15,19,25,33,43,1
3200,26-9-2024,2811,8,20,32,33,43,15
3199,24-9-2024,2810,23,29,31,34,38,18
3198,22-9-2024,2809,7,10,14,35,40,7
3197,19-9-2024,2808,18,19,35,37,44,10
3196,17-9-2024,2807,12,15,21,25,38,19
3195,15-9-2024,2806,2,10,21,28,37,15
3194,12-9-2024,2805,4,7,20,27,44,15
3193,10-9-2024,2804,6,7,21,25,26,12
3192,8-9-2024,2803,7,24,26,32,44,2
3191,5-9-2024,2802,1,5,10,25,27,6
3190,3-9-2024,2801,2,18,31,34,43,16
3189,1-9-2024,2800,11,16,31,36,44,10
3188,29-8-2024,2799,20,25,26,31,37,18
3187,27-8-2024,2798,2,22,24,34,42,20
3186,25-8-2024,2797,8,17,23,26,27,15
3185,22-8-2024,2796,12,14,16,22,33,3
3184,20-8-2024,2795,11,17,34,37,38,10
3183,18-8-2024,2794,2,6,22,42,43,8
3182,14-8-2024,2793,1,3,7,11,25,3
3181,13-8-2024,2792,1,5,17,41,44,18
3180,11-8-2024,2791,5,7,20,30,37,14
3179,8-8-2024,2790,8,9,11,27,30,13
3178,6-8-2024,2789,6,13,29,36,38,12
3177,4-8-2024,2788,3,14,36,43,45,7
3176,1-8-2024,2787,1,7,9,31,34,16
3175,30-7-2024,2786,2,27,31,42,44,14
3174,28-7-2024,2785,3,5,6,36,37,6
3173,25-7-2024,2784,10,23,34,42,43,4
3172,23-7-2024,2783,4,21,26,27,31,18
3171,21-7-2024,2782,1,6,8,12,22,2
3170,18-7-2024,2781,8,9,18,19,24,8
3169,16-7-2024,2780,14,15,33,38,44,7
3168,14-7-2024,2779,4,19,27,41,44,18
3167,11-7-2024,2778,13,22,27,30,44,13
3166,9-7-2024,2777,6,7,24,33,42,7
3165,7-7-2024,2776,9,12,20,21,44,18
3164,4-7-2024,2775,1,21,24,38,40,1
3163,2-7-2024,2774,5,10,29,33,37,7
3162,30-6-2024,2773,5,7,9,26,31,18
3161,27-6-2024,2772,1,7,21,23,29,8
3160,25-6-2024,2771,11,20,23,30,34,18
3159,23-6-2024,2770,3,4,14,15,21,9
3158,20-6-2024,2769,1,5,29,31,38,12
3157,18-6-2024,2768,1,4,9,40,44,15
3156,16-6-2024,2767,1,19,20,37,40,20
3155,13-6-2024,2766,3,8,13,28,36,7
3154,11-6-2024,2765,7,20,29,34,41,6
3153,9-6-2024,2764,3,28,40,41,44,3
3152,6-6-2024,2763,24,29,34,43,45,7
3151,4-6-2024,2762,5,9,18,34,38,7
3150,2-6-2024,2761,3,8,12,25,44,5
3149,30-5-2024,2760,12,17,36,40,45,17
3148,28-5-2024,2759,14,30,33,37,45,3
3147,26-5-2024,2758,13,17,23,33,38,10
3146,23-5-2024,2757,5,6,31,36,39,18
3145,21-5-2024,2756,8,9,32,34,44,15
3144,19-5-2024,2755,11,12,30,39,40,18
3143,16-5-2024,2754,12,25,29,32,42,5
3142,14-5-2024,2753,6,10,11,16,38,19
3141,12-5-2024,2752,10,28,36,39,40,15
3140,9-5-2024,2751,8,18,19,30,39,13
